#	Task, Description
	Winter Quarter
1	Team Formation/ Preliminary Role Assignment/ Project Assignment
2	Contact Sponsor and Prepare Questions for First Meeting
3	Memo Report 1 Due
4	First Sponsor Meeting
5	Post-Sponsor Meeting Debrief
6	Develop Preliminary System Requirements
7	Develop Design Evaluation Criteria For Scoring Matrix
8	Memo Report 2 Due
9	Second Sponsor Meeting
10	Begin Research on Different Adhesive Options
11	Third Sponsor Meeting
12	Begin Subsystem Design
13	Begin Design Sketches
14	Preliminary Gantt Chart
15	Identify Which Adhesives Work With Available Materials
16	Select Final Design Candidates
17	Preliminary Feasibility Calculations
18	Fourth Sponsor Meeting
19	Preliminary Design Report
20	Pressure Test Selected Adhesives
21	Fifth Sponsor Meeting
22	Finalize Prototype Design
23	Basic CAD Models in Solidworks
24	Finalize Bill of Materials
25	Purchase Supplies for Prototype Manufacturing
26	Memo Report 4 Due
27	Refine Prototype CAD Model
28	Machine Architecture Report
	Spring Quarter
29	Prototyping Kickoff
30	Obtain Bill of Materials Order
31	Sixth Sponsor Meeting
32	Control Systems
33	Seventh Sponsor Meeting
34	Finish Final Physical Prototype
35	Test and Troubleshoot Final Prototype
36	Draft of Poster Design
37	Prepare for Team Critical Design Reviews
38	Final Poster Powerpoint
39	Final Report
40	Final Poster Design
41	Capstone Poster and Design Showcase